Order date,Continued date,ITC case No.,DOC case No.,AD/CVD,Review Sequence Group No.,Product Group,Product,Country,Column2,Column3,Fed Reg,Pub date,Link,Column1,Column12
08/16/2018,,A-1379,A-583-861,A,261,TX,Low Melt Polyester Staple Fiber,Taiwan,,,83 FR 40752,2018/08/16,https://www.gpo.gov/fdsys/pkg/FR-2018-08-16/pdf/2018-17691.pdf,,
08/31/2018,,A-1381,A-570-062,A,252,ISO,Cast Iron Soil Pipe Fittings,China,,,83 FR 44570,2018/08/31,https://www.gpo.gov/fdsys/pkg/FR-2018-08-31/pdf/2018-19094.pdf,,
08/31/2018,,C-583,C-570-063,C,252,ISO,Cast Iron Soil Pipe Fittings,China,,,83 FR 44566,2018/08/31,https://www.gpo.gov/fdsys/pkg/FR-2018-08-31/pdf/2018-19095.pdf,,
09/24/2018,,A-1396,A-583-863,A,253,ISO,Forged Steel Fittings,Taiwan,,,83 FR 48280,2018/09/24,https://www.gpo.gov/fdsys/pkg/FR-2018-09-24/pdf/2018-20797.pdf,,
10/05/2018,,C-586,C-53-878,C,250,ISO,Stainless Steel Flanges,India,,,83 FR 50336,2018/10/05,https://www.gpo.gov/fdsys/pkg/FR-2018-10-05/pdf/2018-21732.pdf,,
10/09/2018,,A-1384,A-533-877,A,250,ISO,Stainless Steel Flanges,India,,,83 FR 50639,2018/10/09,https://www.gpo.gov/fdsys/pkg/FR-2018-10-09/pdf/2018-21851.pdf,,
11/13/2018,,A-1397,A-570-071,A,255,CH,Sodium Gluconate,China,,,83 FR 56299,2018/11/13,https://www.gpo.gov/fdsys/pkg/FR-2018-11-13/pdf/2018-24705.pdf,,
11/13/2018,,C-590,C-570-072,C,255,CH,Sodium Gluconate,China,,,83 FR 56299,2018/11/13,https://www.gpo.gov/fdsys/pkg/FR-2018-11-13/pdf/2018-24705.pdf,,
11/26/2018,,A-1394,A-475-839,A,253,ISO,Forged Steel Fittings,Italy,,,83 FR 60397,2018/11/26,https://www.gpo.gov/fdsys/pkg/FR-2018-11-26/pdf/2018-25703.pdf,,
11/26/2018,,A-1395,A-570-067,A,253,ISO,Forged Steel Fittings,China,,,83 FR 60397,2018/11/26,https://www.gpo.gov/fdsys/pkg/FR-2018-11-26/pdf/2018-25703.pdf,,
11/26/2018,,C-589,C-570-068,C,253,ISO,Forged Steel Fittings,China,,,83 FR 60396,2018/11/26,https://www.gpo.gov/fdsys/pkg/FR-2018-11-26/pdf/2018-25704.pdf,,
01/31/2019,,C-591,C-570-074,C,277,MM,Common Alloy Aluminum Sheet,China,,,84 FR 2157,2019/02/06,https://www.govinfo.gov/content/pkg/FR-2019-02-06/pdf/2019-01273.pdf,,
02/05/2019,,A-1399,A-570-073,A,277,MM,Common Alloy Aluminum Sheet,China,,,84 FR 2813,2019/02/08,https://www.govinfo.gov/content/pkg/FR-2019-02-08/pdf/2019-01836.pdf,,
02/12/2019,,C-556,C-570-041,C,258,PRSG,Truck and Bus Tires,China,,,84 FR 4434,2019/02/15,https://www.govinfo.gov/content/pkg/FR-2019-02-15/pdf/2019-02657.pdf,,
02/12/2019,,A-1311,A-570-040,A,258,PRSG,Truck and Bus Tires,China,,,84 FR 4436,2019/02/15,https://www.govinfo.gov/content/pkg/FR-2019-02-15/pdf/2019-02656.pdf,,
02/13/2019,,C-598,C-570-070,C,264,PRSG,Rubber Bands,China,,,84 FR 4774,2019/02/19,https://www.govinfo.gov/content/pkg/FR-2019-02-19/pdf/2019-02783.pdf,,
02/13/2019,,A-1408,A-570-069,A,264,PRSG,Rubber Bands,China,,,84 FR 4774,2019/02/19,https://www.govinfo.gov/content/pkg/FR-2019-02-19/pdf/2019-02783.pdf,,
02/28/2019,,C-594,C-533-882,C,249,ISP,Large Diameter Welded Pipe,India,,,84 FR 8085,2019/02/28,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-04047.pdf,,
02/28/2019,,C-593,C-570-078,C,249,ISP,Large Diameter Welded Pipe,China,,,84 FR 8075,2019/03/06,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-04049.pdf,,
02/28/2019,,A-1402,A-570-077,A,249,ISP,Large Diameter Welded Pipe,China,,,84 FR 8083,2019/03/06,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-04050.pdf,,
02/28/2019,,A-1404,A-533-881,A,249,ISP,Large Diameter Welded Pipe,India,,,84 FR 8079,2019/03/06,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-04048.pdf,,
03/19/2019,,C-592,C-570-076,C,250,PRSG,Plastic Decorative Ribbon,China,,,84 FR 10786,2019/03/22,https://www.govinfo.gov/content/pkg/FR-2019-03-22/pdf/2019-05520.pdf,,
03/19/2019,,A-1400,A-570-075,A,250,PRSG,Plastic Decorative Ribbon,China,,,84 FR 10786,2019/03/22,https://www.govinfo.gov/content/pkg/FR-2019-03-22/pdf/2019-05520.pdf,,
04/22/2019,,A-1410,A-549-835,A,264,ISO,Rubber Bands,Thailand,,,84 FR 17779,2019/04/26,https://www.govinfo.gov/content/pkg/FR-2019-04-26/pdf/2019-08450.pdf,,
04/23/2019,,A-1401,A-122-863,A,249,ISP,Large Diameter Welded Pipe,Canada,,,84 FR 18775,2019/05/02,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08955.pdf,,
04/23/2019,,C-595,C-580-898,C,249,ISP,Large Diameter Welded Pipe,Korea,,,84 FR 18773,2019/04/23,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08951.pdf,,
04/23/2019,,C-596,C-489-834,C,249,ISP,Large Diameter Welded Pipe,Turkey,,,84 FR 18771,2019/04/23,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08952.pdf,,
04/23/2019,,A-1403,A-484-803,A,249,ISP,Large Diameter Welded Pipe,Greece,,,84 FR 18769,2019/05/02,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08954.pdf,,
04/23/2019,,A-1405,A-580-897,A,249,ISP,Large Diameter Welded Pipe,Korea,,,84 FR 18767 ,2019/05/02,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08950.pdf,,
04/23/2019,,A-1406,A-489-833,A,249,ISP,Large Diameter Welded Pipe,Turkey,,,84 FR 18799,2019/05/02,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08953.pdf,,
04/26/2019,,A-1407,A-570-079,A,259,ISP,Cast Iron Soil Pipe,China,,,84 FR 19035,2019/05/03,https://www.govinfo.gov/content/pkg/FR-2019-05-03/pdf/2019-09068.pdf,,
04/26/2019,,C-597,C-570-080,C,259,ISP,Cast Iron Soil Pipe,China,,,84 FR 19039,2019/05/03,https://www.govinfo.gov/content/pkg/FR-2019-05-03/pdf/2019-09067.pdf,,
05/21/2019,,A-1412,A-570-082,A,254,TR,Steel Wheels,China,,,84 FR 24098,2019/05/24,https://www.govinfo.gov/content/pkg/FR-2019-05-24/pdf/2019-11015.pdf,,
